Freq (MHz),P1_TX1_P2_RX1 SCD21,P1_TX2_P2_RX2 SCD21,P1_TX3_P2_RX3 SCD21,P1_TX4_P2_RX4 SCD21,P2_TX1_P1_RX1 SCD21,P2_TX2_P1_RX2 SCD21,P2_TX3_P1_RX3 SCD21,P2_TX4_P1_RX4 SCD21
50.0,-63.161235,-62.99536,-65.348471,-63.486723,-67.071119,-62.540019,-67.210141,-62.63467
100.0,-62.297308,-60.008732,-63.39055,-58.915967,-62.809278,-64.484652,-60.881865,-60.442503
150.0,-60.694162,-58.559981,-64.509067,-57.593214,-59.8405,-64.560714,-60.75487,-58.873105
200.0,-61.369266,-58.48102,-61.767824,-57.047545,-57.287734,-70.25015,-58.854226,-58.057908
250.0,-61.037673,-56.222131,-61.869699,-55.712696,-57.237911,-68.080748,-60.859722,-57.939504
300.0,-61.384915,-55.23566,-60.570993,-52.221177,-55.758861,-63.997633,-58.118144,-58.217662
350.0,-56.420582,-51.970745,-59.832517,-51.973411,-52.73435,-65.765771,-53.883198,-52.396659
400.0,-56.923918,-52.966969,-59.464791,-50.668337,-51.00774,-67.718534,-52.778266,-52.609801
450.0,-59.426162,-50.614393,-60.899098,-48.471661,-50.947462,-64.28951,-57.243434,-54.502158
500.0,-58.786505,-48.019547,-63.063612,-47.017661,-50.164747,-60.817625,-51.469573,-50.752581
550.0,-54.988279,-48.53374,-62.479051,-47.690681,-47.969376,-75.992352,-48.18443,-48.377712
600.0,-56.174523,-47.748082,-60.021791,-45.972884,-46.513653,-66.099454,-49.404027,-49.897258
650.0,-57.247073,-45.765018,-73.432389,-44.706998,-46.985961,-66.491433,-50.768727,-49.234231
700.0,-56.390859,-45.597662,-70.442763,-44.045319,-45.939681,-88.095581,-47.045409,-46.969458
750.0,-52.646364,-45.588788,-59.925013,-43.153491,-45.249273,-71.380234,-45.926672,-45.816329
800.0,-54.205908,-44.897581,-61.248684,-42.443886,-45.418791,-65.457965,-47.834722,-45.946196
850.0,-56.008094,-44.346179,-76.628966,-42.268437,-44.908933,-65.502856,-47.000395,-45.248469
900.0,-54.520948,-44.062884,-64.872325,-41.879342,-44.393224,-58.289489,-45.790724,-44.335667
950.0,-50.658517,-43.568701,-58.208192,-41.315472,-43.518016,-53.461277,-46.86294,-45.168752
1000.0,-51.202976,-42.860586,-56.047023,-40.652405,-43.834739,-54.783331,-48.878354,-45.301549
1050.0,-54.966281,-42.161698,-62.028139,-40.562672,-42.797875,-62.089609,-45.244061,-44.000368
1100.0,-52.014947,-42.29741,-68.778725,-40.740506,-42.699152,-66.812594,-43.501796,-43.06724
1150.0,-48.544107,-43.368497,-55.372009,-40.522511,-43.581991,-56.887692,-44.996873,-43.001335
1200.0,-48.965316,-42.428457,-53.284973,-39.655865,-44.081004,-55.90491,-46.908805,-43.958799
1250.0,-53.227393,-41.052367,-57.47538,-39.267915,-42.178114,-62.978358,-43.611845,-43.07014
1300.0,-51.908121,-40.767513,-62.652758,-39.205862,-40.746527,-61.881452,-41.752497,-42.195681
1350.0,-47.796806,-42.050003,-52.646988,-38.945912,-41.188705,-53.554525,-43.551232,-42.539312
1400.0,-47.485928,-40.617192,-51.412252,-37.944015,-40.835869,-51.695018,-45.219208,-42.916978
1450.0,-51.475525,-38.871579,-56.722874,-37.971742,-39.413574,-52.485081,-41.762464,-41.520878
1500.0,-56.588403,-39.6323,-62.026867,-38.238786,-39.239746,-56.702343,-40.46406,-40.999575
1550.0,-50.051866,-40.80863,-52.882343,-37.543297,-40.938121,-54.597702,-43.123599,-41.319798
1600.0,-48.619815,-39.309212,-50.351363,-36.643583,-40.862571,-53.680641,-42.731236,-41.222937
1650.0,-51.883426,-38.084404,-54.137596,-36.327978,-38.793759,-55.097962,-39.780396,-40.376133
