Freq (MHz),P1_TX1_P2_RX1 SDD11,P1_TX2_P2_RX2 SDD11,P1_TX3_P2_RX3 SDD11,P1_TX4_P2_RX4 SDD11,P2_TX1_P1_RX1 SDD11,P2_TX2_P1_RX2 SDD11,P2_TX3_P1_RX3 SDD11,P2_TX4_P1_RX4 SDD11
50.0,-29.835133,-30.294022,-30.02851,-29.347653,-30.100552,-30.347777,-29.846854,-29.650114
100.0,-33.543012,-33.836568,-35.093071,-34.59143,-34.596567,-34.710273,-34.687485,-35.243119
150.0,-40.181737,-35.261956,-35.747253,-36.800653,-38.49564,-34.643457,-34.17331,-35.108466
200.0,-36.274784,-35.196936,-35.541222,-33.892242,-34.08739,-33.256092,-32.567941,-32.273973
250.0,-42.148452,-48.138552,-44.916675,-37.865653,-41.693643,-40.886731,-43.637232,-38.073803
300.0,-45.142725,-34.969617,-37.992002,-47.706529,-38.406313,-34.93298,-34.500881,-35.190735
350.0,-33.139938,-28.553476,-30.741336,-30.413123,-30.498278,-27.517021,-27.815351,-26.62179
400.0,-29.895577,-26.596416,-27.07651,-26.126897,-27.778353,-25.041012,-26.486004,-24.353291
450.0,-33.65347,-30.778937,-30.051891,-30.01628,-31.130692,-28.802664,-32.557902,-30.411007
500.0,-36.953172,-33.246605,-36.532379,-30.567234,-35.883321,-31.000274,-29.312115,-28.356222
550.0,-25.815658,-23.384883,-24.205173,-22.215407,-24.34794,-22.230902,-22.318435,-20.833972
600.0,-24.981187,-23.015247,-23.878704,-22.53975,-23.631199,-22.385445,-23.389867,-22.261803
650.0,-30.818742,-32.698328,-33.37248,-27.869678,-31.473726,-34.252532,-39.897387,-40.022461
700.0,-28.180797,-25.878766,-25.491003,-22.737581,-27.811985,-24.533128,-24.153046,-22.395205
750.0,-23.292338,-20.534201,-21.213606,-20.380879,-21.99893,-20.20222,-21.063067,-19.9507
800.0,-24.046734,-21.838089,-23.247265,-22.402979,-23.131975,-22.757563,-25.086299,-24.256486
850.0,-31.546014,-36.253979,-34.238623,-25.669643,-37.414789,-48.51145,-35.941848,-33.115726
900.0,-28.055827,-24.029897,-23.740722,-22.44227,-25.789478,-23.34653,-22.959467,-22.488053
950.0,-23.584016,-20.32563,-21.378763,-21.288473,-21.781073,-20.768373,-21.944404,-21.420052
1000.0,-24.556169,-23.144393,-25.059171,-23.577926,-23.44174,-24.059855,-27.659032,-25.835252
1050.0,-31.48607,-43.731781,-35.167615,-25.640896,-36.148679,-52.55067,-34.211589,-30.397025
1100.0,-27.598417,-23.209855,-24.461883,-22.405539,-26.520513,-23.725583,-23.752066,-23.11627
1150.0,-22.926634,-20.12899,-22.613177,-21.395307,-21.554393,-20.285576,-22.289339,-21.792182
1200.0,-23.698662,-23.133224,-26.92404,-23.855825,-22.798382,-22.774192,-27.670621,-25.195576
1250.0,-27.962542,-34.25683,-31.533491,-24.393264,-30.07679,-37.464197,-35.957273,-25.835485
1300.0,-24.139055,-22.691256,-24.541289,-21.68857,-24.934133,-22.906078,-23.100287,-21.990776
1350.0,-21.462604,-20.415637,-24.202972,-22.256488,-21.084313,-19.775577,-22.379035,-22.471758
1400.0,-22.588906,-23.454028,-27.160221,-23.619209,-22.606592,-22.610513,-28.156981,-24.817285
1450.0,-24.359508,-27.525968,-26.410574,-21.649766,-28.587172,-29.174622,-29.022993,-23.271869
1500.0,-22.276566,-21.858758,-24.738117,-22.002784,-23.323554,-21.413364,-23.622382,-23.017517
1550.0,-21.628011,-20.697322,-25.367478,-24.734432,-21.064891,-20.375726,-25.312601,-24.433028
1600.0,-23.188347,-23.891416,-25.978171,-22.244053,-24.020496,-25.695672,-32.741802,-23.621797
1650.0,-23.581962,-26.764398,-25.59569,-21.154569,-27.673237,-27.852498,-26.992578,-23.962074
1700.0,-22.606687,-22.797753,-26.832283,-25.268038,-22.487421,-22.094595,-26.22684,-28.285983
1750.0,-23.015219,-22.229834,-28.799234,-26.430534,-21.728248,-23.007,-32.216894,-26.013765
1800.0,-24.94662,-25.635307,-27.848749,-22.09853,-26.341547,-31.458461,-34.035297,-22.992909
1850.0,-24.830317,-25.114896,-26.781753,-23.610968,-27.366353,-26.462782,-28.338302,-25.052882
